Id,AccountName,ContractName,Status,Type,Size,Side,CreatedAt,TradeDay,FilledAt,CancelledAt,StopPrice,LimitPrice,ExecutePrice,PositionDisposition,CreationDisposition,RejectionReason,ExchangeOrderId,PlatformOrderId
2805841423,PRAC-V2-315185-26809886,MCLK6,Filled,Market,1,Bid,04/13/2026 00:22:47 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:22:47 +01:00,,,,105.270000000,Opening,Trader,,,
2805841425,PRAC-V2-315185-26809886,MCLK6,Cancelled,Limit,1,Ask,04/13/2026 00:22:47 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:54:30 +01:00,,106.130000000,,Undetermined,Trader,OCO Cancelled,,
2805843423,PRAC-V2-315185-26809886,MBTJ6,Filled,Market,1,Ask,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:23:17 +01:00,,,,70720.000000000,Opening,Trader,,,
2805843420,PRAC-V2-315185-26809886,MGCM6,Filled,Market,1,Ask,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 00:23:17 +01:00,,,,4668.700000000,Opening,Trader,,,
2805843421,PRAC-V2-315185-26809886,MGCM6,Cancelled,Stop,1,Bid,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:00:18 +01:00,4696.300000000,,,Undetermined,Trader,Cancelled by trader,,
2805843425,PRAC-V2-315185-26809886,MBTJ6,Cancelled,Limit,1,Bid,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:25:18 +01:00,,70410.000000000,,Undetermined,Trader,Cancelled by trader,,
2805843453,PRAC-V2-315185-26809886,M6EM6,Cancelled,Stop,1,Bid,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:18 +01:00,1.172400000,,,Undetermined,Trader,Cancelled by trader,,
2805843454,PRAC-V2-315185-26809886,M6EM6,Cancelled,Limit,1,Bid,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:10:18 +01:00,,1.164900000,,Undetermined,Trader,Cancelled by trader,,
2806047818,PRAC-V2-315185-26809886,MGCM6,Filled,Market,2,Bid,04/13/2026 01:00:18 +01:00,04/13/2026 00:00:00 -05:00,04/13/2026 01:00:18 +01:00,,,,4689.300000000,Closing,ClosePosition,,,
2805843422,PRAC-V2-315185-26809886,MGCM6,Cancelled,Limit,1,Bid,04/13/2026 00:23:17 +01:00,04/13/2026 00:00:00 -05:00,,04/13/2026 01:00:18 +01:00,,4662.400000000,,Undetermined,Trader,Cancelled by trader,,
